Bữa sáng,Bữa phụ,Bữa trưa,Bữa tối,Chế độ ăn,Táo bón,Béo phì,Tim mạch,Mỡ trong máu,Huyết áp,Thiếu máu,Thiếu kẽm,Thiếu canxi,Suy dinh dưỡng,Tiểu đường,Tình trạng sức khỏe,Mục tiêu
Khoai lang hấp,Hạt hạnh nhân,Canh gà lá giang; Miến; Trái cây ít đường,Phở bò; Rau luộc; Cơm trắng ít,Không chay,0,0,1,0,0,0,1,0,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Trứng chần trên bánh mì nướng bơ,Hạt hạnh nhân,Cơm chiên hải sản; Rau muống xào tỏi; Canh chua,Gỏi cuốn tôm thịt; Canh rau ngót,Không chay,0,0,0,0,0,1,1,0,1,0,"Thiếu máu, Suy dinh dưỡng, Thiếu kẽm","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm"
Yogurt chuối và nho kho + chuối,Sữa chua Hy Lạp,Bánh cuốn Thanh Trì; Cá hấp; Cải thìa xào,Canh rau ngót thịt băm chay; Đậu phụ sốt,Không chay,0,0,1,1,1,0,0,1,1,1,"Tim mạch, Huyết áp, Rối loạn mỡ máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Dâu tây,Cá lóc hấp bầu; Miến; Cải thìa xào,Phở gà; Salad trộn ít dầu,Không chay,0,0,1,0,0,0,0,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc,Đậu hũ non,Rau xào tam sắc (món chay); Rau củ xào giò nấm chay; Canh bí đỏ,Bún Nấm Rơm Nấu Chao Chay; Rau luộc,chay,0,1,0,1,1,0,0,0,0,0,"Béo phì, Huyết áp, Rối loạn mỡ máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ hòa tan"
Yogurt chuối và nho kho,Bánh trứng khoai lang,Khoai Tây Chiên Kho Cà Chua Chay; Xôi đậu xanh; Rau muống xào tỏi,Bông Kim Châm Kho Rau Củ Chay; Canh Lạc Bí Xanh Chay,chay,0,1,0,0,1,0,0,0,0,0,"Béo phì, Huyết áp","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp"
Sữa ngũ cốc ,Sữa chua Hy Lạp,Bún mắm miền Tây; Đậu phụ sốt; Salad trộn ít dầu,Mực xào sa tếCá basa sốt cà chua; Tôm nướng,Không chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Bắp luộc,Đậu hũ non,Canh bí đỏ hầm sườn chay; Da heo rim tỏi ớt (món chay); Đậu phụ sốt,Rau xào tam sắc (món chay); Rau củ luộc,chay,0,1,0,0,0,0,0,0,0,0,Béo phì,"Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
Sữa chua Hy Lạp +kiwi,Bưởi,Cháo gà; Cải thìa xào; Canh mồng tơi,Cháo sườn; Rau muống xào tỏi,Không chay,0,0,1,0,0,0,0,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mỳ nướng bơ tói ốp la, Sữa chua parfait hoa quả,Bánh tráng cuốn thịt heo; Salad trộn ít dầu; Canh chua,Lòng non xào dưa chua; Trứng luộc,Không chay,1,1,0,0,0,0,0,0,0,0,"Táo bón, Béo phì","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
