User_ID,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
496,Trứng,Meat,173,42.4,83.7,1.5,1.5,12.7,752,125,Bữa trưa,478
201,Quả táo,Fruits,66,39.2,13.8,3.2,2.6,12.2,680,97,Bữa trưa,466
776,Ức gà,Meat,226,27.1,79.1,25.8,3.2,44.7,295,157,Bữa sáng,635
112,Chuối,Fruits,116,43.4,47.1,16.1,6.5,44.1,307,13,Bữa phụ,379
622,Chuối,Fruits,500,33.9,75.8,47,7.8,19.4,358,148,Bữa trưa,471
620,Yến mạch,Grains,387,31.2,6.8,39.5,5.1,0.7,300,244,Bữa tối,727
714,Cà rốt,Vegetables,138,28.2,12.4,20.2,2.8,37.8,933,15,Bữa tối,733
992,Cookie,Snack,69,36.8,17.8,15,9.6,36.4,185,228,Bữa phụ,386
535,Quả táo,Fruits,568,6.7,7,23.4,6.4,46.9,336,129,Bữa sáng,931
594,Quinoa,Grains,204,19.3,62.7,31.8,6.8,40.3,887,135,Bữa phụ,662
856,Yến mạch,Grains,108,40.6,13.9,12.2,9.3,44.7,530,194,Bữa trưa,624
621,Cà chua,Vegetables,117,34.4,21,10.1,9.1,18.5,66,180,Bữa tối,799
74,Nước cam,Beverages,147,20.1,32.7,8.9,7,42.4,500,250,Bữa phụ,661
634,Cookie,Snack,468,23.7,89.2,3.1,6.3,31.3,342,225,Bữa trưa,607
151,Thịt bò bít tết,Meat,157,27.5,32.4,9.4,0.5,24.6,180,68,Bữa trưa,724
863,Thịt lợn Chop,Meat,385,15.8,36.5,33.1,2.1,27.6,134,88,Bữa trưa,421
651,Yến mạch,Grains,297,36.3,76.4,24.9,2.9,37.6,269,66,Bữa trưa,338
770,Quả nho,Fruits,274,42.4,54.5,45.2,8.2,20.3,507,76,Bữa sáng,463
986,Sữa lắc,Beverages,353,24,96.2,6.8,0.9,17.5,305,17,Bữa trưa,618
660,Trứng,Meat,569,4.3,23.2,31.9,9.5,28.2,373,17,Bữa sáng,416
54,Mì ống,Grains,217,28.1,8.3,38.9,3.7,43.2,653,176,Bữa tối,224
135,Yến mạch,Grains,492,32.8,45.9,27.5,7.5,5.1,435,70,Bữa sáng,255
66,Quả cam,Fruits,222,21.1,85,45.1,1.7,46.8,422,260,Bữa phụ,876
965,Mì ống,Grains,335,38,64.7,39.1,9.5,2.1,322,139,Bữa phụ,786
581,Hạt,Snack,552,25.9,27.4,39.2,1.5,47.3,338,292,Bữa sáng,751
759,Phô mai,Dairy,252,18,24.9,31,8.2,43.6,744,110,Bữa sáng,244
6,Quả dâu,Fruits,141,19,93.3,11.8,5.7,20,970,263,Bữa trưa,967
386,Yến mạch,Grains,336,43.1,56.8,21.9,9.4,18.1,452,262,Bữa trưa,791
351,Bơ,Dairy,315,37.8,25.5,15.6,1.2,1,555,119,Bữa sáng,863
643,Nước cam,Beverages,553,44.1,25.7,21.9,4.5,36.7,888,171,Bữa tối,455
98,Quinoa,Grains,496,18.1,24.9,16.5,0.2,13,346,57,Bữa sáng,452
547,Cơm,Grains,142,14.6,21.9,41.4,2.7,46.5,947,48,Bữa trưa,868
932,Yến mạch,Grains,71,4,62.8,42.7,1.7,31.2,87,109,Bữa sáng,248
441,Quả dâu,Fruits,595,32.5,23.8,35.1,9.3,32,389,278,Bữa tối,942
271,Quả cam,Fruits,165,7.7,35,44.2,5.3,8.7,21,154,Bữa tối,685
421,Da ua,Dairy,568,27.5,63.4,25.4,1.6,9.5,360,20,Bữa phụ,927
192,Bơ,Dairy,437,41.2,71.7,6,7.8,14.8,893,8,Bữa phụ,665
191,Quinoa,Grains,195,45,40.9,31.6,8.8,0.8,372,184,Bữa sáng,823
961,Thịt bò bít tết,Meat,71,33.4,70,27.3,6.6,44.3,864,31,Bữa phụ,846
236,Quả táo,Fruits,271,13.7,89.5,33.8,8,3.9,509,289,Bữa phụ,728
755,Phô mai,Dairy,353,34.1,87.5,47,3.3,17,172,194,Bữa phụ,786
324,Bông cải xanh,Vegetables,219,32.6,49.5,30.3,9.4,23.5,771,138,Bữa tối,663
369,Nước,Beverages,171,47.4,80.3,10.1,9,44.3,525,264,Bữa sáng,985
523,Thịt bò bít tết,Meat,539,43.1,35.6,15.6,0.2,33.1,496,82,Bữa trưa,506
23,Thịt bò bít tết,Meat,86,48.7,52.9,9.3,5.9,5.2,888,216,Bữa phụ,876
395,Paneer,Dairy,173,22.1,59.4,30.1,5.2,12.4,424,10,Bữa phụ,986
462,Phô mai,Dairy,359,31.6,30.8,13.3,3.1,18.3,880,236,Bữa trưa,643
882,Cá hồi,Meat,508,5.3,70.4,40.3,6.1,47.2,423,230,Bữa phụ,470
962,Quả nho,Fruits,294,21.6,97.9,23.5,8.1,45.5,934,4,Bữa sáng,624
609,Da ua,Dairy,315,4.7,23.6,7.5,9.2,4.8,971,277,Bữa tối,989
47,Hạt,Snack,191,28.8,39.6,40.3,6.5,23.9,842,282,Bữa tối,903
24,Quả táo,Fruits,485,49.2,81.2,5.8,3.7,44.1,343,123,Bữa trưa,573
502,Sữa,Dairy,282,30.3,69.7,21.5,5.4,39.9,731,263,Bữa tối,491
799,Cá hồi,Meat,281,19.6,61,29.7,2.7,4.1,871,289,Bữa phụ,272
248,Quinoa,Grains,233,39.6,53.4,44.6,8.7,38.4,433,247,Bữa trưa,929
272,Thịt bò bít tết,Meat,184,19,39.9,1.1,0.8,39.1,762,102,Bữa tối,642
812,Thịt lợn Chop,Meat,449,44.3,76.2,39.8,5.5,5.1,828,231,Bữa phụ,168
658,Ức gà,Meat,547,20.3,33.9,44.9,7.6,28.5,587,151,Bữa phụ,232
128,Ức gà,Meat,285,13.9,46.2,31.8,8.8,28.8,764,103,Bữa tối,257
436,Chuối,Fruits,244,2.6,93.3,22.2,3.6,40,675,268,Bữa sáng,831
164,Cà phê,Beverages,484,29.7,70.2,37.9,8.6,32.7,569,176,Bữa trưa,269
228,Ức gà,Meat,592,34.7,55.6,21.1,2.9,35.3,561,116,Bữa phụ,859
438,Quả cam,Fruits,57,8.4,65.5,35.9,8.4,49.3,973,67,Bữa tối,845
893,Trứng,Meat,434,47.5,34.2,25.5,6,15.9,247,11,Bữa tối,522
644,Bông cải xanh,Vegetables,527,16.1,76.4,34.7,4.5,22,360,61,Bữa sáng,727
186,Bơ,Dairy,538,36.3,17.8,29.8,2,42.9,39,18,Bữa tối,818
388,Cà phê,Beverages,276,20.7,97.9,27.3,4.7,4.8,168,142,Bữa tối,202
521,Quả táo,Fruits,558,12.3,55.4,26.1,4.1,4.8,38,147,Bữa tối,750
357,Quả dâu,Fruits,308,42.1,25.7,3.1,7.8,18.6,355,233,Bữa phụ,510
81,Quả nho,Fruits,56,41.9,77.4,29.2,1.2,17,552,30,Bữa sáng,937
604,Thịt lợn Chop,Meat,565,4.8,45.9,45.1,7.9,17.1,213,122,Bữa trưa,971
730,Phô mai,Dairy,91,11.1,76.6,38.8,8.6,12.7,88,35,Bữa tối,736
964,Rau chân vịt,Vegetables,282,12,54,6.6,2.2,29.4,198,81,Bữa trưa,332
819,Mì ống,Grains,563,46,19.4,34.3,6.6,23.2,570,235,Bữa trưa,265
151,Cookie,Snack,566,45.4,8.8,44.5,4.8,28.2,527,166,Bữa trưa,655
727,Cà rốt,Vegetables,315,9.1,67.7,39.1,3.8,20.8,612,227,Bữa phụ,828
746,Bơ,Dairy,216,11.5,24.5,2.6,9.3,1.7,369,85,Bữa trưa,143
686,Quả cam,Fruits,589,48.4,67,24.3,5.9,9.5,159,131,Bữa phụ,653
4,Quả cam,Fruits,381,49.6,7.8,37.7,4.9,1.5,85,185,Bữa trưa,899
696,Khoai tây,Vegetables,161,30.4,72.8,31.4,7.3,38.4,934,62,Bữa phụ,569
590,Ức gà,Meat,57,22.3,10.4,14.3,10,11.1,935,75,Bữa trưa,320
246,Yến mạch,Grains,499,36.6,74.4,34.6,8.8,18,976,140,Bữa phụ,487
447,Nước cam,Beverages,412,41.9,5.5,14.4,4.5,27.4,816,8,Bữa tối,179
330,Cà phê,Beverages,575,38.4,94,1.1,4.7,45.4,343,72,Bữa tối,323
791,Cookie,Snack,362,47.2,47.7,23.9,1.7,17.2,174,211,Bữa phụ,130
188,Quả dâu,Fruits,492,34.3,27.1,16.6,8.4,45.6,950,297,Bữa trưa,593
292,Mì ống,Grains,470,16.2,51.4,24.2,6.1,31,865,144,Bữa phụ,912
633,Bơ,Dairy,509,45.5,72.6,40.7,9.2,39.5,311,115,Bữa trưa,734
456,Chuối,Fruits,296,6.8,20.6,11.5,1.2,39.8,107,250,Bữa trưa,709
516,Nước,Beverages,181,6.6,12.9,45.2,2.1,33,98,86,Bữa phụ,234
634,Quả cam,Fruits,572,40.1,49.7,14.9,2.6,40.3,208,176,Bữa sáng,955
248,Sữa lắc,Beverages,507,48.2,79.6,15.5,9.5,8.5,530,293,Bữa trưa,306
941,Quả nho,Fruits,346,36.7,47.9,34.7,4,34.9,107,288,Bữa tối,639
502,Khoai tây,Vegetables,537,44.4,28.2,17.5,7,30.7,597,99,Bữa tối,122
462,Trà xanh,Beverages,425,23.1,30.9,9.2,8.2,36.4,201,145,Bữa trưa,101
58,Hạt,Snack,560,36.1,15.1,12.3,8,28.1,530,18,Bữa tối,853
59,Sữa lắc,Beverages,148,39.3,67.7,18.2,4,42.6,469,230,Bữa tối,935
635,Hạt,Snack,322,36,56.7,21.1,0.9,31.1,645,236,Bữa trưa,362
191,Cookie,Snack,240,21.4,78,14.2,9,1.1,17,243,Bữa sáng,327
970,Da ua,Dairy,144,45.2,42.2,1.5,8.3,41.1,122,298,Bữa tối,859
820,Ức gà,Meat,450,18.1,14.7,25.8,9.7,6.7,761,276,Bữa tối,539
237,Bánh mỳ,Grains,467,4.5,95.5,49.5,8.9,28.9,577,273,Bữa tối,891
657,Hạt,Snack,309,22.2,7.9,35.6,9.7,41.2,38,271,Bữa tối,468
267,Cà phê,Beverages,594,15.2,21,2,4.1,39.2,800,270,Bữa trưa,841
430,Cơm,Grains,527,35.9,52.3,35.1,2.7,34,783,240,Bữa phụ,646
942,Bánh mỳ,Grains,304,18.6,75.8,49.8,3.6,10.8,817,114,Bữa phụ,927
209,Sữa,Dairy,235,12.4,83.2,47.4,6.6,33,468,37,Bữa trưa,383
35,Sữa,Dairy,176,36.5,70.7,14.9,3,41.7,370,23,Bữa tối,589
131,Cà rốt,Vegetables,484,13.6,69.1,30.8,3.6,10.5,373,300,Bữa tối,888
313,Bơ,Dairy,131,34.6,12.5,17,3.8,31.7,704,174,Bữa tối,667
813,Quả dâu,Fruits,543,29.7,67.8,7,3.6,14.7,835,152,Bữa tối,423
564,Thịt bò bít tết,Meat,89,2.4,11.3,18.7,9.4,10.4,885,102,Bữa phụ,774
650,Thịt lợn Chop,Meat,359,10.8,54.5,8.7,4.3,46.7,712,246,Bữa tối,775
386,Thịt bò bít tết,Meat,342,18.9,9.8,5,4,22.9,907,109,Bữa phụ,275
402,Bánh mỳ,Grains,50,18.4,11.1,29.6,2.8,22.1,446,260,Bữa sáng,189
975,Cá hồi,Meat,403,47.1,45.8,38.6,0.7,23.3,259,279,Bữa tối,694
616,Phô mai,Dairy,267,43.6,16.8,17.4,5.3,8.5,266,140,Bữa sáng,979
663,Thịt bò bít tết,Meat,537,50,96.3,23.6,5.4,42.6,142,63,Bữa tối,831
663,Khoai tây,Vegetables,519,14.5,38.5,20.7,1,18.4,889,215,Bữa trưa,273
960,Cá hồi,Meat,168,34.5,57.5,9.2,4.2,43.7,108,179,Bữa trưa,826
865,Cà phê,Beverages,122,17.1,70.4,21,6.4,5.8,196,189,Bữa trưa,865
589,Sôcôla,Snack,153,46.7,91,45,7,49.7,494,38,Bữa trưa,751
589,Cà rốt,Vegetables,263,33.4,9.3,17.1,7.8,25.4,17,93,Bữa tối,755
