id,user_query,category,answer
1,"chị gầy quá, cho xin bữa ăn lên ký với.",meal_plan,Ăn thế này đảm bảo lên ký: Sáng: Phở bò tái nạm trứng chần. Trưa: Cơm thịt kho tàu và Trứng luộc. Tối: Mì xào bò rau cải. Bữa phụ: Bánh bông lan trứng muối. (Nhớ uống đủ 2 lít nước nhé!)
2,cho xin cháu cái chế độ ăn siết mỡ cần ngay.,meal_plan,Lịch ăn giảm mỡ: Sáng: 2 lòng trắng trứng và khoai lang luộc. Trưa: Thịt bò xào ớt chuông và 1/2 chén cơm. Tối: Một đĩa rau muống luộc và 1 trứng kho. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)
3,"chị gầy quá, muốn có lịch ăn thoát gầy với.",meal_plan,Menu giàu năng lượng: Sáng: Bún bò huế đầy đủ. Trưa: Bò bít tết và Khoai tây chiên. Tối: Mì xào bò rau cải. Bữa phụ: Sữa whey protein. (Nhớ uống đủ 2 lít nước nhé!)
4,gợi ý anh cái lịch ăn eat clean cứu với.,meal_plan,"Gợi ý Eat Clean cho bạn: Sáng: Salad ức gà nhỏ. Trưa: Cá hồi nướng, Quinoa và Salad. Tối: Ức gà luộc xé phay. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)"
5,"tớ gầy quá, tư vấn kế hoạch ăn uống thoát gầy với.",meal_plan,Menu giàu năng lượng: Sáng: Bánh mì ốp la 2 trứng và Sữa đậu nành. Trưa: Cơm sườn bì chả và Canh chua. Tối: Mì xào bò rau cải. Bữa phụ: Chuối và Bơ đậu phộng. (Nhớ uống đủ 2 lít nước nhé!)
6,"bot ơi, mình muốn giảm cân, ăn uống thế nào?",meal_plan,"Gợi ý Eat Clean cho bạn: Sáng: 1 quả trứng luộc và 1 lát bánh mì đen. Trưa: Cá hồi nướng, Quinoa và Salad. Tối: Canh bí xanh nấu tôm. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)"
7,"mẹ bỉm gầy quá, muốn có bữa ăn thoát gầy với.",meal_plan,Ăn thế này đảm bảo lên ký: Sáng: Bánh mì ốp la 2 trứng và Sữa đậu nành. Trưa: Cơm thịt kho tàu và Trứng luộc. Tối: Cháo sườn sụn và Quẩy. Bữa phụ: Bánh bông lan trứng muối. (Nhớ uống đủ 2 lít nước nhé!)
8,"mẹ bỉm gầy quá, lên giúp lịch ăn thoát gầy với.",meal_plan,Ăn thế này đảm bảo lên ký: Sáng: Xôi gà xá xíu. Trưa: Gà rán và Cơm rang dương châu. Tối: Cơm cá thu sốt cà và Canh rau ngót thịt bằm. Bữa phụ: Sinh tố bơ sầu riêng. (Nhớ uống đủ 2 lít nước nhé!)
9,Có chế độ ăn nào giúp thoát gầy cấp tốc không chuyên gia?,meal_plan,Ăn thế này đảm bảo lên ký: Sáng: Bánh mì ốp la 2 trứng và Sữa đậu nành. Trưa: Bò bít tết và Khoai tây chiên. Tối: Lẩu thái hải sản (ăn tại nhà). Bữa phụ: Bánh bông lan trứng muối. (Nhớ uống đủ 2 lít nước nhé!)
10,Có bữa ăn nào giúp tăng cân cấp tốc không chuyên gia?,meal_plan,Thực đơn xả cơ: Sáng: Phở bò tái nạm trứng chần. Trưa: Cơm sườn bì chả và Canh chua. Tối: Cháo sườn sụn và Quẩy. Bữa phụ: Sữa whey protein. (Nhớ uống đủ 2 lít nước nhé!)
11,"Đang diet mà đói quá, tư vấn thực đơn chống đói.",meal_plan,"Menu ít calo tham khảo: Sáng: 1 quả trứng luộc và 1 lát bánh mì đen. Trưa: Cá hồi nướng, Quinoa và Salad. Tối: Salad cá ngừ ít sốt. Bữa phụ: Hạt hạnh nhân. (Nhớ uống đủ 2 lít nước nhé!)"
12,"tớ gầy quá, cho xin kế hoạch ăn uống tăng cơ với.",meal_plan,Menu giàu năng lượng: Sáng: Bún bò huế đầy đủ. Trưa: Bò bít tết và Khoai tây chiên. Tối: Lẩu thái hải sản (ăn tại nhà). Bữa phụ: Sữa whey protein. (Nhớ uống đủ 2 lít nước nhé!)
13,Lên lịch ăn uống để lên ký đón Tết giúp người mới.,meal_plan,Ăn thế này đảm bảo lên ký: Sáng: Bánh mì ốp la 2 trứng và Sữa đậu nành. Trưa: Gà rán và Cơm rang dương châu. Tối: Cơm cá thu sốt cà và Canh rau ngót thịt bằm. Bữa phụ: Bánh bông lan trứng muối. (Nhớ uống đủ 2 lít nước nhé!)
14,lên giúp mẹ bỉm cái lịch ăn diet help me.,meal_plan,Thực đơn diet hôm nay: Sáng: Salad ức gà nhỏ. Trưa: Bún chùm ngây thịt nạc. Tối: Canh bí xanh nấu tôm. Bữa phụ: 1 hũ sữa chua không đường. (Nhớ uống đủ 2 lít nước nhé!)
15,Muốn lên ký thì một ngày phải ăn mấy bữa?,meal_plan,Menu giàu năng lượng: Sáng: Bún bò huế đầy đủ. Trưa: Cơm sườn bì chả và Canh chua. Tối: Cháo sườn sụn và Quẩy. Bữa phụ: Sinh tố bơ sầu riêng. (Nhớ uống đủ 2 lít nước nhé!)
16,Chỉ người mới cách ăn để giảm béo trong 1 tuần.,meal_plan,Gợi ý Eat Clean cho bạn: Sáng: Salad ức gà nhỏ. Trưa: Thịt bò xào ớt chuông và 1/2 chén cơm. Tối: Súp rau củ thập cẩm. Bữa phụ: 1 quả táo. (Nhớ uống đủ 2 lít nước nhé!)
17,làm cho mẹ bỉm cái chế độ ăn eat clean help me.,meal_plan,"Lịch ăn giảm mỡ: Sáng: 2 lòng trắng trứng và khoai lang luộc. Trưa: Ức gà áp chảo, Cơm gạo lứt và Bông cải xanh. Tối: Một đĩa rau muống luộc và 1 trứng kho. Bữa phụ: 1 quả táo. (Nhớ uống đủ 2 lít nước nhé!)"
18,"chị gầy quá, cần thực đơn tăng cân với.",meal_plan,Menu giàu năng lượng: Sáng: Bún bò huế đầy đủ. Trưa: Cơm sườn bì chả và Canh chua. Tối: Cơm cá thu sốt cà và Canh rau ngót thịt bằm. Bữa phụ: Chuối và Bơ đậu phộng. (Nhớ uống đủ 2 lít nước nhé!)
19,"Đang giảm cân mà đói quá, muốn có bữa ăn chống đói.",meal_plan,"Thực đơn diet hôm nay: Sáng: 1 quả trứng luộc và 1 lát bánh mì đen. Trưa: Cá hồi nướng, Quinoa và Salad. Tối: Ức gà luộc xé phay. Bữa phụ: 1 quả táo. (Nhớ uống đủ 2 lít nước nhé!)"
20,Lên lịch ăn uống để béo lên đón Tết giúp mình.,meal_plan,Kế hoạch tăng cân: Sáng: Bánh mì ốp la 2 trứng và Sữa đậu nành. Trưa: Cơm sườn bì chả và Canh chua. Tối: Cháo sườn sụn và Quẩy. Bữa phụ: Sữa whey protein. (Nhớ uống đủ 2 lít nước nhé!)
21,"chị gầy quá, làm cho kế hoạch ăn uống tăng cân với.",meal_plan,Menu giàu năng lượng: Sáng: Bánh mì ốp la 2 trứng và Sữa đậu nành. Trưa: Cơm thịt kho tàu và Trứng luộc. Tối: Lẩu thái hải sản (ăn tại nhà). Bữa phụ: Bánh bông lan trứng muối. (Nhớ uống đủ 2 lít nước nhé!)
22,"Vừa ăn bún riêu xong, sợ béo quá cứu mẹ bỉm.",nutrition_fact,"Chào bạn, theo dữ liệu thì món bún riêu chứa khoảng 690 calo/100g."
23,"Đang diet mà đói quá, cho xin lịch ăn chống đói.",meal_plan,Thực đơn diet hôm nay: Sáng: Salad ức gà nhỏ. Trưa: Bún chùm ngây thịt nạc. Tối: Canh bí xanh nấu tôm. Bữa phụ: Hạt hạnh nhân. (Nhớ uống đủ 2 lít nước nhé!)
24,Check calo món bơ giùm mẹ bỉm.,nutrition_fact,"Chào bạn, theo dữ liệu thì món bơ chứa khoảng 487 calo/100g."
25,"Bố em bị béo phì, xin chế độ ăn an toàn.",meal_plan,Gợi ý bữa ăn an toàn: Sáng: Cháo yến mạch nấu rau củ. Trưa: Mực xào cần tây và 1/2 bát cơm. Tối: Canh rau cải nấu thịt bằm. Bữa phụ: Dưa chuột. (Nhớ uống đủ 2 lít nước nhé!)
