id,câu_hỏi_người_dùng,intent_dinh_dưỡng,tình_trạng_sức_khỏe,mục_tiêu,bữa_sáng,bữa_trưa,bữa_tối,bữa_phụ,tổng_calo,ghi_chú
1,Người cao huyết áp nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,cao huyết áp,duy trì sức khỏe,Bánh mì trứng,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Sữa whey,1545,Ngủ đủ 7 tiếng.
2,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,tiểu đường,duy trì sức khỏe,Trứng luộc + rau xanh,Cơm + thịt bò xào,Salad rau củ + trứng,Sữa chua không đường,1606,Không dùng đồ ngọt.
3,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,béo phì,duy trì sức khỏe,Bánh mì trứng,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Sữa chua không đường,1260,Uống 2L nước/ngày.
4,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,tiểu đường,giảm cân,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Sữa whey,1846,Tránh ăn sau 21h.
5,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,gầy yếu,tăng cân,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Táo xanh,1472,Ngủ đủ 7 tiếng.
6,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,bình thường,tăng cân,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1942,Không dùng đồ ngọt.
7,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,tiểu đường,duy trì sức khỏe,Cháo yến mạch,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Sữa whey,2110,Uống 2L nước/ngày.
8,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,béo phì,tăng cân,Trứng luộc + rau xanh,Cơm + thịt bò xào,Salad rau củ + trứng,Hạt hạnh nhân,1504,Không dùng đồ ngọt.
9,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,tiểu đường,ăn lành mạnh,Trứng luộc + rau xanh,Cơm + thịt bò xào,Cá hồi + khoai lang,Táo xanh,1342,Không dùng đồ ngọt.
10,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,béo phì,duy trì sức khỏe,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Sữa whey,1771,Uống 2L nước/ngày.
11,Người cao huyết áp nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,cao huyết áp,ăn lành mạnh,Bánh mì trứng,Cơm + thịt bò xào,Ức gà + rau củ hấp,Táo xanh,1300,Không dùng đồ ngọt.
12,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,gầy yếu,giảm cân,Yến mạch sữa chua,Cơm + thịt bò xào,Salad rau củ + trứng,Hạt hạnh nhân,1596,Uống 2L nước/ngày.
13,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,tiểu đường,ăn lành mạnh,Bánh mì trứng,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Sữa chua không đường,1787,Kết hợp tập thể dục 30 phút/ngày.
14,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,cao huyết áp,duy trì sức khỏe,Cháo yến mạch,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Hạt hạnh nhân,1465,Kết hợp tập thể dục 30 phút/ngày.
15,Người béo phì nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,béo phì,tăng cân,Bánh mì trứng,Ức gà nướng + salad,Ức gà + rau củ hấp,Chuối chín,1360,Uống 2L nước/ngày.
16,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,tiểu đường,tăng cân,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Cá hồi + khoai lang,Hạt hạnh nhân,2236,Tránh ăn sau 21h.
17,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,bình thường,tăng cân,Yến mạch sữa chua,Ức gà nướng + salad,Ức gà + rau củ hấp,Sữa chua không đường,1782,Ngủ đủ 7 tiếng.
18,Người tiểu đường nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,tiểu đường,tăng cơ,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1231,Tránh ăn sau 21h.
19,Người gầy yếu nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,gầy yếu,duy trì sức khỏe,Cháo yến mạch,Cơm + thịt bò xào,Salad rau củ + trứng,Chuối chín,1260,Ngủ đủ 7 tiếng.
20,Người bình thường nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,bình thường,tăng cân,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Cơm + tôm hấp,Hạt hạnh nhân,1426,Không dùng đồ ngọt.
